path,group,extension,line_count,review_flags
server/scripts/verify-migration.mjs,backend:script,.mjs,623,large>=500|console-call
server/scripts/verify-module-protection.mjs,backend:script,.mjs,104,console-call
server/src/app.js,backend:core,.js,184,hardcoded-local-origin|ts-any
server/src/authz/authz.service.js,backend:core,.js,111,
server/src/authz/local-checker.js,backend:core,.js,172,
server/src/authz/model/arcspro.fga,backend:core,.fga,54,
server/src/authz/object-ids.js,backend:core,.js,75,
server/src/authz/openfga.client.js,backend:core,.js,45,
server/src/authz/profile.service.js,backend:core,.js,211,
server/src/authz/tuple-projector.js,backend:core,.js,230,
server/src/bootstrap/ensure-super-admin.js,backend:core,.js,46,
server/src/bootstrap/seed-dictionaries.js,backend:core,.js,143,console-call
server/src/config/env.js,backend:core,.js,52,hardcoded-local-origin|console-call
server/src/db/knex.js,backend:core,.js,39,
server/src/db/mappers/audit.js,backend:core,.js,77,
server/src/db/mappers/auth.js,backend:core,.js,88,
server/src/db/mappers/bib.js,backend:core,.js,74,
server/src/db/mappers/clothing.js,backend:core,.js,46,
server/src/db/mappers/column-mappings.js,backend:core,.js,29,
server/src/db/mappers/import-sessions.js,backend:core,.js,55,
server/src/db/mappers/jobs.js,backend:core,.js,6,
server/src/db/mappers/jsonb.js,backend:core,.js,76,
server/src/db/mappers/lottery-results.js,backend:core,.js,32,
server/src/db/mappers/lottery.js,backend:core,.js,285,
server/src/db/mappers/pipeline.js,backend:core,.js,100,
server/src/db/mappers/races.js,backend:core,.js,60,
server/src/db/mappers/records.js,backend:core,.js,224,
server/src/db/mappers/snapshot.js,backend:core,.js,51,
server/src/db/migrations/20260302000001_create_jobs_table.js,backend:migration,.js,53,
server/src/db/migrations/20260302000002_create_auth_tables.js,backend:migration,.js,59,
server/src/db/migrations/20260302000003_create_races_table.js,backend:migration,.js,35,
server/src/db/migrations/20260302000004_create_records_table.js,backend:migration,.js,90,
server/src/db/migrations/20260302000005_create_column_mappings_table.js,backend:migration,.js,24,
server/src/db/migrations/20260302000006_create_import_sessions_table.js,backend:migration,.js,43,
server/src/db/migrations/20260303000001_phase5_lottery_audit_clothing.js,backend:migration,.js,224,
server/src/db/migrations/20260304000001_auth_permission_overhaul.js,backend:migration,.js,108,
server/src/db/migrations/20260304000001_phase6_lottery_results_snapshots_bib.js,backend:migration,.js,129,
server/src/db/migrations/20260305000001_create_org_race_permissions_table.js,backend:migration,.js,39,
server/src/db/migrations/20260307000001_create_bib_tracking_tables.js,backend:migration,.js,60,
server/src/db/migrations/20260307000002_add_lottery_mode_columns.js,backend:migration,.js,25,
server/src/db/migrations/20260307000004_normalize_event_history.js,backend:migration,.js,35,
server/src/db/migrations/20260309000001_repair_bib_tracking_columns.js,backend:migration,.js,98,
server/src/db/migrations/20260309000002_optimize_bib_tracking_scan.js,backend:migration,.js,80,
server/src/db/migrations/20260309142607_create_projects_tables.js,backend:migration,.js,37,todo-marker
server/src/db/migrations/20260310000100_add_user_scope_to_column_mappings.js,backend:migration,.js,52,
server/src/db/migrations/20260310024032_add_responsible_group_to_project_tasks.js,backend:migration,.js,20,
server/src/db/migrations/20260311120000_create_tools_table.js,backend:migration,.js,32,
server/src/db/migrations/20260311123540_add_reimbursement_tool.js,backend:migration,.js,27,
server/src/db/migrations/20260312000001_create_interviews_table.js,backend:migration,.js,28,
server/src/db/migrations/20260312000002_add_scenario_scores_to_interviews.js,backend:migration,.js,24,
server/src/db/migrations/20260313000001_create_assessment_tables.js,backend:migration,.js,146,
server/src/db/migrations/20260314000001_create_team_members_and_user_binding.js,backend:migration,.js,103,
server/src/db/migrations/20260314000002_upgrade_projects_for_org_and_assignees.js,backend:migration,.js,108,
